,Max Temperature,Humidity,Cloudiness,Wind Speed,City Name,Country,Latitude,Longitude
0,51.01,63,87,10.0,Mataura,NZ,-46.19,168.86
1,-2.21,98,100,4.07,Igarka,RU,67.47,86.57
2,84.78,70,41,8.55,Butaritari,KI,3.07,172.79
3,71.6,40,20,18.34,Katsuura,JP,33.93,134.5
4,77.0,94,90,5.82,Kapaa,US,22.08,-159.32
5,-12.86,91,56,8.03,Yerbogachen,RU,61.28,108.01
6,14.0,72,5,17.22,Tuktoyaktuk,CA,69.44,-133.03
7,69.64,49,0,8.84,Port Said,EG,25.34,30.55
8,46.0,93,1,3.85,Millbrook,US,32.48,-86.36
9,82.11,84,0,14.43,Georgetown,GY,6.8,-58.16
10,66.0,88,90,6.93,Cape Town,ZA,-33.93,18.42
11,-9.24,91,50,0.51,Ust-Maya,RU,60.42,134.54
12,30.99,68,90,12.75,Saint-Augustin,CA,45.63,-73.98
13,66.99,81,94,8.99,Hermanus,ZA,-34.42,19.24
14,69.58,37,65,14.83,Carnarvon,ZA,-30.97,22.13
15,70.0,87,5,1.99,Puerto Ayora,EC,-0.74,-90.35
16,-20.21,75,20,3.91,Thompson,CA,55.74,-97.86
17,50.0,87,1,2.66,Bay Saint Louis,US,30.31,-89.33
18,44.83,93,86,13.8,Male,UA,50.74,33.7
19,66.2,68,40,6.93,Hasaki,JP,35.73,140.83
20,84.2,66,75,8.05,Mogadishu,SO,2.04,45.34
21,48.83,73,90,4.27,Iwanai,JP,42.97,140.51
22,46.0,81,75,4.7,Vila,IT,45.18,8.4
23,78.8,69,20,5.82,Vaini,IN,15.34,74.49
24,71.6,88,27,6.93,Avarua,CK,-21.21,-159.78
25,46.0,87,75,6.93,Punta Arenas,CL,-53.16,-70.91
26,80.6,28,59,6.93,Ashqelon,IL,31.67,34.57
27,16.72,71,100,7.85,Chistogorskiy,RU,53.98,87.38
28,50.0,53,40,3.36,Ushuaia,AR,-54.81,-68.31
29,80.01,61,40,5.82,Cabo San Lucas,MX,22.89,-109.91
30,3.0,80,44,11.3,Husavik,CA,50.56,-96.99
31,81.0,69,20,8.05,Bambous Virieux,MU,-20.34,57.76
32,64.4,93,90,13.87,East London,ZA,-33.02,27.91
33,62.6,54,0,5.82,Faya,SA,18.39,42.45
34,51.19,19,24,16.82,Yumen,CN,40.29,97.04
35,82.65,19,0,3.74,Keti Bandar,PK,24.14,67.45
36,33.01,73,20,9.17,Torbay,CA,47.66,-52.73
37,48.99,57,100,13.0,Kaitangata,NZ,-46.28,169.85
38,62.02,83,72,2.71,Ribeira Grande,PT,38.52,-28.7
39,28.78,78,75,20.18,Severo-Kurilsk,RU,50.68,156.12
40,73.99,85,93,20.33,Rikitea,PF,-23.12,-134.97
41,60.01,93,75,9.17,Peniche,PT,39.36,-9.38
42,91.04,11,15,2.84,Bluff,AU,-23.58,149.07
43,32.0,72,100,8.99,Saint-Georges,CA,46.12,-70.67
44,50.0,53,75,5.82,Nemuro,JP,43.32,145.57
45,72.82,97,93,2.8,Itaituba,BR,-4.26,-55.99
46,60.8,59,20,9.17,Lebu,ET,8.96,38.73
47,68.2,86,82,3.13,Ponta do Sol,BR,-20.63,-46.0
48,70.0,56,40,26.4,Nara,JP,34.68,135.8
49,81.0,69,20,8.05,Mahebourg,MU,-20.41,57.7
50,62.6,88,99,3.36,Pisco,PE,-13.71,-76.2
51,42.8,81,40,19.46,Grindavik,IS,63.84,-22.43
52,23.23,61,60,9.04,Arman,RU,59.7,150.17
53,56.12,91,83,11.56,Barrow,AR,-38.31,-60.23
54,64.0,97,100,5.99,Port Alfred,ZA,-33.59,26.89
55,62.6,82,75,8.05,Chicama,PE,-7.84,-79.15
56,76.87,59,4,10.49,Sur,OM,22.57,59.53
57,42.8,60,90,1.48,Albany,US,42.65,-73.75
58,72.48,66,1,19.46,Voh,NC,-20.95,164.69
59,42.8,33,100,18.34,Ilulissat,GL,69.22,-51.1
60,80.49,56,1,9.33,Ambovombe,MG,-25.18,46.09
61,9.37,95,66,7.81,Dikson,RU,73.51,80.55
62,82.51,38,17,4.09,Basna,IN,25.97,73.75
63,57.0,81,1,3.36,Pacific Grove,US,36.62,-121.92
64,87.8,66,75,2.24,Victoria,BN,5.28,115.24
65,76.93,72,100,9.98,Antalaha,MG,-14.9,50.28
66,73.4,20,85,24.16,New Norfolk,AU,-42.78,147.06
67,80.64,67,59,9.42,Atuona,PF,-9.8,-139.03
68,37.4,98,75,20.13,Provideniya,RU,64.42,-173.23
69,61.0,87,20,5.82,Vila Franca do Campo,PT,37.72,-25.43
70,71.35,94,98,2.26,Sao Felix do Xingu,BR,-6.64,-51.99
71,57.2,58,7,2.24,Baghdad,IQ,33.3,44.38
